year,country,purpose,mode,duration,age,visits_thousand,nights_thousand,millions_spent
2002,Australia,Holiday,Air,8-14 nights,25-34,0.18,0.9,0.04
2002,Australia,Holiday,Air,8-14 nights,35-44,0.56,6.74,1.13
2002,Australia,Holiday,Air,8-14 nights,45-54,0.18,1.63,0.12
2002,Australia,Holiday,Air,15+ nights,0-15,0.59,53.5,0.58
2002,Australia,Holiday,Air,15+ nights,25-34,1.14,28.55,0.82
2002,Australia,Holiday,Air,15+ nights,35-44,0.26,5.41,0.51
2002,Australia,Holiday,Air,15+ nights,45-54,0.19,20.26,0.37
2002,Australia,Holiday,Air,15+ nights,55-64,0.18,3.78,0.1
2002,Australia,Business,Air,4-7 nights,45-54,0.53,2.33,0.54
2002,Australia,Business,Air,15+ nights,55-64,0.24,1.93,0.18
2002,Australia,VFR,Air,4-7 nights,35-44,0.28,1.96,0.17
2002,Australia,VFR,Air,4-7 nights,55-64,0.23,1.58,0.23
2002,Australia,VFR,Air,8-14 nights,16-24,0.36,1.08,0.02
2002,Australia,VFR,Air,8-14 nights,45-54,0.36,2.54,0.09
2002,Australia,VFR,Air,8-14 nights,65+,0.18,1.97,0.09
2002,Australia,VFR,Air,15+ nights,16-24,0.2,0.8,0.02
2002,Australia,VFR,Air,15+ nights,25-34,0.8,18.27,0.18
2002,Australia,VFR,Air,15+ nights,35-44,0.83,20.25,0.12
2002,Australia,VFR,Air,15+ nights,45-54,0.36,1.45,0.09
2002,Australia,VFR,Air,15+ nights,65+,0.36,13.43,0.51
2002,Australia,VFR,Tunnel,8-14 nights,45-54,0.37,1.49,0.03
2002,Australia,Other,Air,15+ nights,16-24,0.65,44.86,1.24
2002,Australia,Other,Air,15+ nights,25-34,0.23,15.51,0.39
2002,Australia,Holiday,Air,4-7 nights,25-34,0.38,1.92,0.16
2002,Australia,Holiday,Air,4-7 nights,45-54,0.72,1.19,0.09
2002,Australia,Holiday,Air,8-14 nights,25-34,0.67,4.04,0.26
2002,Australia,Holiday,Air,8-14 nights,45-54,1.22,9.73,0.3
2002,Australia,Holiday,Air,8-14 nights,55-64,0.38,2.68,0.15
2002,Australia,Holiday,Air,8-14 nights,65+,0.56,1.12,0.04
2002,Australia,Holiday,Air,15+ nights,0-15,0.21,1.9,0.14
2002,Australia,Holiday,Air,15+ nights,16-24,1.05,11.38,0.53
2002,Australia,Holiday,Air,15+ nights,35-44,0.47,8.1,0.07
2002,Australia,Holiday,Air,15+ nights,45-54,0.59,8.56,0.42
2002,Australia,Holiday,Air,15+ nights,55-64,0.59,6.79,0.23
2002,Australia,Holiday,Air,15+ nights,65+,0.45,8.78,0.15
2002,Australia,Holiday,Sea,8-14 nights,25-34,2.18,13.11,0.47
2002,Australia,Holiday,Sea,15+ nights,16-24,2.15,22.92,0.77
2002,Australia,Holiday,Sea,15+ nights,45-54,2.18,7.02,0.15
2002,Australia,Holiday,Tunnel,4-7 nights,45-54,0.45,0.87,0.15
2002,Australia,Holiday,Tunnel,8-14 nights,25-34,0.45,0.87,0.03
2002,Australia,Holiday,Tunnel,15+ nights,25-34,0.45,5.52,0.22
2002,Australia,Holiday,Tunnel,15+ nights,55-64,0.99,1.92,0.04
2002,Australia,Business,Air,1-3 nights,35-44,0.19,0.19,0.04
