,year,country,purpose,mode,duration,age,visits_thousand,nights_thousand,millions_spent
51,2002,Canada,Holiday,Air,4-7 nights,0-15,0.31,1.46,0.11
52,2002,Canada,Holiday,Air,4-7 nights,16-24,0.21,0.63,0.02
53,2002,Canada,Holiday,Air,8-14 nights,16-24,0.22,2.35,0.04
54,2002,Canada,Holiday,Air,8-14 nights,45-54,0.52,3.93,0.2
55,2002,Canada,Holiday,Air,8-14 nights,65+,0.26,2.77,0.02
56,2002,Canada,Holiday,Air,15+ nights,65+,0.4,4.17,0.17
57,2002,Canada,Business,Air,4-7 nights,45-54,0.64,0.64,0.04
58,2002,Canada,Business,Air,4-7 nights,55-64,0.21,1.25,0.4
59,2002,Canada,Business,Air,15+ nights,45-54,0.27,16.20,0.35
60,2002,Canada,VFR,Air,4-7 nights,16-24,0.2,0.98,0.03
61,2002,Canada,VFR,Air,4-7 nights,45-54,0.99,4.95,0.04
62,2002,Canada,VFR,Air,8-14 nights,25-34,0.55,6.94,0.12
63,2002,Canada,VFR,Air,8-14 nights,45-54,0.67,1.72,0.03
64,2002,Canada,VFR,Air,8-14 nights,55-64,0.29,2.01,0.12
65,2002,Canada,VFR,Air,8-14 nights,65+,0.29,2.87,0.15
66,2002,Canada,VFR,Air,15+ nights,25-34,1.24,91.39,0.98
67,2002,Canada,VFR,Air,15+ nights,45-54,0.54,11.01,0.19
68,2002,Canada,VFR,Air,15+ nights,55-64,1.69,23.21,1.08
69,2002,Canada,VFR,Air,15+ nights,65+,1.24,16.49,0.29
70,2002,Canada,Other,Air,8-14 nights,35-44,0.19,2.11,0.21
331,2002,Canada,Holiday,Air,1-3 nights,25-34,0.27,0.79,0.08
332,2002,Canada,Holiday,Air,4-7 nights,0-15,0.45,0.62,0.04
333,2002,Canada,Holiday,Air,4-7 nights,25-34,0.25,0.98,0.05
334,2002,Canada,Holiday,Air,4-7 nights,35-44,0.48,1.43,0.11
335,2002,Canada,Holiday,Air,8-14 nights,0-15,0.46,5.50,0.1
336,2002,Canada,Holiday,Air,8-14 nights,25-34,2.07,21.37,1.65
337,2002,Canada,Holiday,Air,8-14 nights,35-44,0.51,3.42,0.16
338,2002,Canada,Holiday,Air,8-14 nights,45-54,2.52,28.32,1.08
339,2002,Canada,Holiday,Air,8-14 nights,55-64,0.93,5.36,0.25
340,2002,Canada,Holiday,Air,8-14 nights,65+,1.82,21.81,0.64
