,year,country,purpose,mode,duration,age,visits_thousand,nights_thousand,millions_spent
76,2002,France,Holiday,Sea,4-7 nights,45-54,4.51,8.91,0.47
77,2002,France,Business,Tunnel,1-3 nights,45-54,0.49,0.49,0.05
78,2002,France,VFR,Air,4-7 nights,25-34,0.78,3.02,0.83
79,2002,France,VFR,Air,8-14 nights,45-54,1.5,16.75,0.28
80,2002,France,VFR,Air,15+ nights,25-34,0.57,1.66,0.05
81,2002,France,VFR,Sea,15+ nights,55-64,1.18,25.48,0.0
82,2002,France,VFR,Tunnel,4-7 nights,65+,0.52,2.16,0.15
83,2002,France,VFR,Tunnel,8-14 nights,35-44,0.55,4.50,0.05
84,2002,France,VFR,Tunnel,15+ nights,16-24,0.52,9.72,0.11
85,2002,France,Other,Air,4-7 nights,45-54,0.73,2.80,0.18
86,2002,France,Other,Sea,1-3 nights,25-34,1.1,2.20,0.17
87,2002,France,Other,Sea,8-14 nights,35-44,0.97,8.72,0.1
373,2002,France,Holiday,Air,1-3 nights,65+,1.19,2.33,0.36
374,2002,France,Holiday,Air,4-7 nights,16-24,0.76,2.97,0.12
375,2002,France,Holiday,Air,4-7 nights,35-44,4.22,20.34,0.73
376,2002,France,Holiday,Air,4-7 nights,45-54,1.65,6.60,0.4
377,2002,France,Holiday,Air,8-14 nights,25-34,1.18,10.80,0.68
378,2002,France,Holiday,Air,8-14 nights,55-64,1.04,10.20,0.0
379,2002,France,Holiday,Sea,4-7 nights,0-15,2.77,15.21,0.68
380,2002,France,Holiday,Sea,4-7 nights,16-24,0.73,2.15,0.02
381,2002,France,Holiday,Sea,4-7 nights,55-64,0.73,5.02,0.26
382,2002,France,Holiday,Sea,8-14 nights,55-64,2.74,29.61,1.8
383,2002,France,Holiday,Tunnel,4-7 nights,0-15,2.22,9.72,0.34
384,2002,France,Business,Air,1-3 nights,25-34,0.34,0.67,0.01
385,2002,France,Business,Air,1-3 nights,35-44,0.37,0.73,0.08
386,2002,France,Business,Air,1-3 nights,45-54,1.8,2.35,0.31
387,2002,France,Business,Air,4-7 nights,35-44,0.44,1.96,0.16
388,2002,France,Business,Sea,4-7 nights,45-54,0.71,2.18,0.01
389,2002,France,Business,Tunnel,1-3 nights,35-44,0.49,0.50,0.05
390,2002,France,VFR,Air,1-3 nights,16-24,1.35,2.69,0.34
391,2002,France,VFR,Air,1-3 nights,25-34,0.27,0.79,0.55
392,2002,France,VFR,Air,4-7 nights,45-54,0.43,3.00,0.12
393,2002,France,VFR,Tunnel,4-7 nights,55-64,0.47,1.42,0.04
776,2002,France,Holiday,Air,4-7 nights,25-34,2.23,12.98,0.82
777,2002,France,Holiday,Air,4-7 nights,55-64,0.85,3.74,0.16
778,2002,France,Holiday,Air,4-7 nights,65+,0.44,1.73,0.23
779,2002,France,Holiday,Air,8-14 nights,0-15,2.23,28.12,1.11
780,2002,France,Holiday,Air,8-14 nights,16-24,0.44,3.46,0.08
781,2002,France,Holiday,Air,8-14 nights,25-34,2.23,17.31,1.08
782,2002,France,Holiday,Air,8-14 nights,35-44,2.23,17.31,1.27
783,2002,France,Holiday,Air,8-14 nights,45-54,1.43,11.10,0.52
784,2002,France,Holiday,Air,15+ nights,25-34,1.81,22.84,0.56
785,2002,France,Holiday,Air,15+ nights,45-54,3.57,50.22,2.25
786,2002,France,Holiday,Sea,4-7 nights,25-34,1.59,11.05,0.08
787,2002,France,Holiday,Sea,8-14 nights,16-24,1.59,22.10,0.6
788,2002,France,Holiday,Sea,8-14 nights,35-44,1.44,15.48,0.35
789,2002,France,Holiday,Sea,8-14 nights,45-54,3.72,50.10,1.55
790,2002,France,Holiday,Sea,8-14 nights,55-64,1.99,23.66,0.5
791,2002,France,Holiday,Sea,15+ nights,0-15,4.66,74.40,1.36
792,2002,France,Holiday,Sea,15+ nights,16-24,1.54,26.10,1.67
793,2002,France,Holiday,Sea,15+ nights,35-44,1.65,16.55,0.17
794,2002,France,Holiday,Sea,15+ nights,45-54,1.99,9.86,0.32
795,2002,France,Holiday,Tunnel,4-7 nights,25-34,0.56,2.58,0.07
796,2002,France,Holiday,Tunnel,8-14 nights,35-44,0.48,0.95,0.01
797,2002,France,Holiday,Tunnel,15+ nights,16-24,0.56,8.29,0.11
798,2002,France,Business,Air,1-3 nights,25-34,0.46,1.55,0.29
