,year,country,purpose,mode,duration,age,visits_thousand,nights_thousand,millions_spent
88,2002,Germany,Holiday,Sea,8-14 nights,0-15,0.78,7.01,0.04
89,2002,Germany,Business,Air,1-3 nights,25-34,0.67,1.32,0.15
90,2002,Germany,Business,Air,1-3 nights,35-44,1.17,2.61,0.21
91,2002,Germany,Business,Sea,4-7 nights,25-34,0.42,0.85,0.3
92,2002,Germany,VFR,Air,1-3 nights,16-24,0.29,0.59,0.14
93,2002,Germany,VFR,Air,1-3 nights,35-44,1.12,2.26,0.13
94,2002,Germany,VFR,Air,4-7 nights,35-44,1.15,8.09,0.21
95,2002,Germany,VFR,Air,8-14 nights,16-24,0.32,0.96,0.04
96,2002,Germany,VFR,Air,8-14 nights,25-34,0.87,12.24,0.16
97,2002,Germany,VFR,Air,15+ nights,16-24,0.87,25.34,0.89
98,2002,Germany,VFR,Air,15+ nights,25-34,0.57,12.62,0.18
99,2002,Germany,VFR,Air,15+ nights,35-44,0.87,19.23,0.0
100,2002,Germany,VFR,Sea,4-7 nights,25-34,0.39,1.96,0.0
101,2002,Germany,VFR,Sea,8-14 nights,16-24,0.39,5.47,0.0
102,2002,Germany,VFR,Sea,15+ nights,25-34,0.39,4.30,0.0
103,2002,Germany,VFR,Tunnel,15+ nights,25-34,1.26,15.09,0.5
394,2002,Germany,Holiday,Air,4-7 nights,35-44,2.01,12.34,0.58
395,2002,Germany,Holiday,Air,4-7 nights,55-64,0.31,2.18,0.17
396,2002,Germany,Holiday,Air,8-14 nights,35-44,0.36,2.77,0.11
397,2002,Germany,Holiday,Air,15+ nights,55-64,2.05,29.46,1.99
398,2002,Germany,Holiday,Sea,4-7 nights,16-24,0.81,4.05,0.25
399,2002,Germany,Holiday,Sea,4-7 nights,45-54,0.81,4.86,0.31
400,2002,Germany,Holiday,Sea,4-7 nights,55-64,2.83,16.61,0.87
401,2002,Germany,Holiday,Sea,4-7 nights,65+,1.21,5.27,0.42
402,2002,Germany,Holiday,Sea,8-14 nights,0-15,0.9,6.29,0.02
403,2002,Germany,Holiday,Sea,8-14 nights,16-24,0.9,5.13,0.12
404,2002,Germany,Holiday,Sea,8-14 nights,25-34,1.54,13.38,0.62
405,2002,Germany,Holiday,Sea,15+ nights,25-34,3.9,54.46,1.73
406,2002,Germany,Business,Air,1-3 nights,35-44,0.47,0.48,0.1
407,2002,Germany,Business,Air,1-3 nights,45-54,1.99,4.00,0.79
408,2002,Germany,Business,Air,4-7 nights,35-44,0.33,1.64,0.1
409,2002,Germany,Business,Air,4-7 nights,55-64,0.52,1.05,0.15
410,2002,Germany,Business,Sea,8-14 nights,55-64,0.81,6.01,0.17
411,2002,Germany,Business,Tunnel,4-7 nights,35-44,2.72,2.74,0.01
412,2002,Germany,VFR,Air,1-3 nights,35-44,0.38,1.14,0.05
413,2002,Germany,VFR,Air,8-14 nights,0-15,0.33,2.67,0.04
414,2002,Germany,VFR,Air,8-14 nights,25-34,2.21,19.80,1.01
415,2002,Germany,VFR,Sea,4-7 nights,45-54,0.77,4.17,0.76
416,2002,Germany,Other,Air,1-3 nights,25-34,0.3,0.30,0.02
816,2002,Germany,Holiday,Air,1-3 nights,16-24,3.37,4.61,2.04
817,2002,Germany,Holiday,Air,4-7 nights,25-34,1.56,1.56,0.14
818,2002,Germany,Holiday,Air,4-7 nights,65+,4.62,18.63,1.77
819,2002,Germany,Holiday,Air,8-14 nights,25-34,1.33,17.43,0.69
820,2002,Germany,Holiday,Air,8-14 nights,35-44,4.15,43.23,4.46
821,2002,Germany,Holiday,Air,8-14 nights,45-54,0.43,3.04,0.17
822,2002,Germany,Holiday,Air,8-14 nights,55-64,2.78,37.10,3.81
823,2002,Germany,Holiday,Air,15+ nights,16-24,1.36,12.82,0.29
824,2002,Germany,Holiday,Sea,1-3 nights,45-54,0.95,2.84,0.33
825,2002,Germany,Holiday,Sea,4-7 nights,0-15,1.08,6.45,0.13
826,2002,Germany,Holiday,Sea,4-7 nights,25-34,1.25,3.73,0.5
827,2002,Germany,Holiday,Sea,4-7 nights,35-44,1.08,6.45,0.23
828,2002,Germany,Holiday,Sea,4-7 nights,55-64,2.63,13.87,0.99
829,2002,Germany,Holiday,Sea,4-7 nights,65+,2.85,16.12,1.03
830,2002,Germany,Holiday,Sea,8-14 nights,16-24,0.95,7.58,0.33
831,2002,Germany,Holiday,Sea,8-14 nights,25-34,1.08,12.90,0.43
832,2002,Germany,Holiday,Sea,8-14 nights,35-44,4.99,57.20,1.56
833,2002,Germany,Holiday,Sea,8-14 nights,45-54,2.86,20.86,1.16
834,2002,Germany,Holiday,Sea,8-14 nights,55-64,2.83,12.06,0.84
835,2002,Germany,Holiday,Sea,15+ nights,0-15,1.08,21.51,0.44
836,2002,Germany,Holiday,Sea,15+ nights,25-34,1.08,17.20,0.58
837,2002,Germany,Holiday,Sea,15+ nights,35-44,3.75,46.59,1.79
838,2002,Germany,Holiday,Sea,15+ nights,45-54,1.88,22.18,0.56
839,2002,Germany,Holiday,Sea,15+ nights,55-64,4.73,30.15,1.68
840,2002,Germany,Holiday,Sea,15+ nights,65+,0.69,7.73,0.42
841,2002,Germany,Holiday,Tunnel,8-14 nights,55-64,1.67,23.23,1.78
842,2002,Germany,Business,Air,1-3 nights,35-44,0.93,2.14,0.75
843,2002,Germany,Business,Air,1-3 nights,45-54,1.18,1.21,0.26
844,2002,Germany,Business,Air,4-7 nights,45-54,4.14,14.72,0.56
845,2002,Germany,Business,Air,8-14 nights,55-64,0.88,2.69,0.11
846,2002,Germany,Business,Sea,1-3 nights,35-44,0.9,1.81,0.57
847,2002,Germany,Business,Sea,1-3 nights,45-54,1.73,1.74,0.2
848,2002,Germany,Business,Sea,4-7 nights,25-34,1.0,6.01,0.33
849,2002,Germany,Business,Sea,4-7 nights,35-44,1.0,4.01,0.0
850,2002,Germany,Business,Tunnel,8-14 nights,45-54,1.54,4.64,0.12
851,2002,Germany,VFR,Air,1-3 nights,25-34,2.31,6.91,0.15
852,2002,Germany,VFR,Air,4-7 nights,25-34,2.31,11.52,0.33
853,2002,Germany,VFR,Air,8-14 nights,45-54,1.32,14.46,0.23
854,2002,Germany,VFR,Air,8-14 nights,55-64,0.41,3.23,0.07
855,2002,Germany,VFR,Air,8-14 nights,65+,0.64,8.90,0.15
856,2002,Germany,VFR,Sea,15+ nights,55-64,0.96,15.20,1.02
857,2002,Germany,Other,Sea,4-7 nights,45-54,0.94,3.75,0.18
1338,2002,Germany,Holiday,Air,4-7 nights,55-64,0.47,1.90,0.14
1339,2002,Germany,Holiday,Air,8-14 nights,35-44,0.41,2.05,0.07
1340,2002,Germany,Holiday,Air,8-14 nights,55-64,0.65,8.42,0.54
1341,2002,Germany,Holiday,Sea,4-7 nights,16-24,4.99,19.96,1.08
1342,2002,Germany,Holiday,Sea,8-14 nights,55-64,0.51,1.94,0.49
1343,2002,Germany,Holiday,Sea,15+ nights,65+,1.57,61.08,3.79
1344,2002,Germany,Business,Air,1-3 nights,35-44,0.51,0.50,0.16
1345,2002,Germany,Business,Air,1-3 nights,45-54,1.5,3.71,0.64
1346,2002,Germany,Business,Air,1-3 nights,55-64,0.63,1.88,0.26
1347,2002,Germany,Business,Air,8-14 nights,55-64,0.58,4.60,0.74
1348,2002,Germany,Business,Tunnel,1-3 nights,45-54,1.7,1.70,0.01
1349,2002,Germany,Business,Tunnel,1-3 nights,55-64,1.7,3.40,0.11
1350,2002,Germany,VFR,Air,1-3 nights,25-34,0.38,1.09,0.08
1351,2002,Germany,VFR,Air,1-3 nights,55-64,0.38,1.09,0.1
1352,2002,Germany,VFR,Air,15+ nights,55-64,1.0,3.88,0.15
1606,2003,Germany,Holiday,Air,8-14 nights,55-64,1.36,10.24,0.41
1607,2003,Germany,Holiday,Air,15+ nights,16-24,1.02,155.32,2.99
1608,2003,Germany,Business,Air,1-3 nights,35-44,1.14,1.76,0.3
1609,2003,Germany,Business,Air,1-3 nights,45-54,0.36,0.70,0.11
1610,2003,Germany,Business,Air,4-7 nights,25-34,0.83,0.81,0.22
1611,2003,Germany,Business,Air,4-7 nights,35-44,0.54,1.06,0.11
1612,2003,Germany,Business,Air,4-7 nights,45-54,0.65,2.57,0.14
1613,2003,Germany,Business,Sea,1-3 nights,35-44,1.75,3.46,0.0
1614,2003,Germany,Business,Sea,1-3 nights,45-54,3.51,3.46,0.6
1615,2003,Germany,VFR,Air,1-3 nights,35-44,0.9,2.75,0.44
1616,2003,Germany,VFR,Air,4-7 nights,0-15,0.69,4.95,0.07
1617,2003,Germany,VFR,Air,4-7 nights,25-34,1.47,10.05,0.07
1618,2003,Germany,VFR,Air,8-14 nights,25-34,1.52,14.00,0.02
1913,2003,Germany,Holiday,Air,1-3 nights,25-34,0.49,1.42,0.13
1914,2003,Germany,Holiday,Air,4-7 nights,35-44,2.72,10.58,0.88
1915,2003,Germany,Holiday,Air,4-7 nights,45-54,0.37,0.71,0.06
1916,2003,Germany,Holiday,Air,4-7 nights,65+,1.13,7.49,0.86
1917,2003,Germany,Holiday,Air,8-14 nights,65+,0.67,4.35,0.83
1918,2003,Germany,Holiday,Sea,1-3 nights,0-15,0.78,2.35,0.18
1919,2003,Germany,Holiday,Sea,1-3 nights,45-54,1.56,4.69,0.43
1920,2003,Germany,Holiday,Sea,4-7 nights,45-54,0.78,3.13,0.25
1921,2003,Germany,Holiday,Sea,4-7 nights,55-64,0.78,3.91,0.35
1922,2003,Germany,Holiday,Sea,4-7 nights,65+,1.67,5.11,0.33
1923,2003,Germany,Holiday,Sea,8-14 nights,25-34,0.44,6.20,0.44
1924,2003,Germany,Holiday,Sea,8-14 nights,55-64,0.78,4.69,0.46
1925,2003,Germany,Holiday,Sea,15+ nights,16-24,0.44,7.97,0.17
1926,2003,Germany,Holiday,Sea,15+ nights,35-44,0.54,7.60,0.3
1927,2003,Germany,Holiday,Sea,15+ nights,45-54,0.88,15.94,1.07
