year,units,value,type_of_location_visited,location_type,breakdown_of_domestic_tourism
2014,million pounds (GBP),186,Seaside - beach,Seaside,Expenditure
2019,million pounds (GBP),1456,Small town,Town/Village,Expenditure
2016,million pounds (GBP),4916,All areas,All,Expenditure
2018,million pounds (GBP),5474,All areas,All,Expenditure
2013,million pounds (GBP),217,Seaside - beach,Seaside,Expenditure
2018,million pounds (GBP),6,Seaside - other,Seaside,Expenditure
2018,million pounds (GBP),1234,Small town,Town/Village,Expenditure
2015,million pounds (GBP),230,Seaside resort or town,Seaside,Expenditure
2016,million pounds (GBP),302,Seaside resort or town,Seaside,Expenditure
2019,million pounds (GBP),359,Seaside resort or town,Seaside,Expenditure
2017,million pounds (GBP),458,Seaside resort or town,Seaside,Expenditure
2015,million pounds (GBP),3922,All areas,All,Expenditure
2014,million pounds (GBP),5020,All areas,All,Expenditure
2013,million pounds (GBP),4647,All areas,All,Expenditure
2016,million pounds (GBP),1037,Small town,Town/Village,Expenditure
2013,million pounds (GBP),68,Seaside - other,Seaside,Expenditure
2013,million pounds (GBP),1035,Small town,Town/Village,Expenditure
2017,million pounds (GBP),246,Seaside - beach,Seaside,Expenditure
2019,million pounds (GBP),35,Seaside - other,Seaside,Expenditure
2015,million pounds (GBP),914,Small town,Town/Village,Expenditure
2016,million pounds (GBP),32,Seaside - other,Seaside,Expenditure
2016,million pounds (GBP),249,Seaside - beach,Seaside,Expenditure
2015,million pounds (GBP),36,Seaside - other,Seaside,Expenditure
2014,million pounds (GBP),128,Seaside - other,Seaside,Expenditure
2017,million pounds (GBP),75,Seaside - other,Seaside,Expenditure
2015,million pounds (GBP),81,Seaside - beach,Seaside,Expenditure
2019,million pounds (GBP),237,Seaside - beach,Seaside,Expenditure
2018,million pounds (GBP),151,Seaside - beach,Seaside,Expenditure
2019,million pounds (GBP),457,Village,Town/Village,Expenditure
2015,million pounds (GBP),308,Village,Town/Village,Expenditure
2019,million pounds (GBP),3400,City/large town,City,Expenditure
2018,million pounds (GBP),3111,City/large town,City,Expenditure
2017,million pounds (GBP),1377,Small town,Town/Village,Expenditure
2017,million pounds (GBP),883,Village,Town/Village,Expenditure
2014,million pounds (GBP),1398,Small town,Town/Village,Expenditure
2014,million pounds (GBP),2873,City/large town,City,Expenditure
2015,million pounds (GBP),2254,City/large town,City,Expenditure
